Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,27,403,4,50,16,16,0,10.0,5.4,80.60000000000001,295,487,23,0.0
0.6,37,378,6,50,29,29,0,10.0,7.3999999999999995,75.6,293,485,19,0.0
0.9,44,357,6,54,39,39,0,10.8,8.799999999999999,71.39999999999999,292,484,18,0.0
1.2,50,343,7,55,45,45,0,11.0,10.0,68.60000000000001,289,481,18,0.0
1.5,55,324,4,60,57,57,0,12.0,11.0,64.8,288,480,16,0.0
1.8,62,292,7,61,78,77,1,12.2,12.4,58.4,286,478,16,0.0
2.1,65,278,8,63,86,84,2,12.6,13.0,55.60000000000001,285,477,15,0.0
2.4,68,269,6,66,91,89,2,13.200000000000001,13.600000000000001,53.800000000000004,284,476,15,0.0
2.6999999999999997,76,253,2,71,98,96,2,14.2,15.2,50.6,283,475,15,0.0
3.0,77,237,6,70,110,107,3,14.000000000000002,15.4,47.4,282,474,14,0.0
3.3,78,227,5,71,119,116,3,14.2,15.6,45.4,280,472,14,0.0
3.6,80,216,2,76,126,123,3,15.2,16.0,43.2,278,470,13,0.0
3.9000000000000004,81,205,5,77,132,129,3,15.4,16.2,41.0,275,467,13,0.0
4.2,82,196,8,77,137,133,4,15.4,16.400000000000002,39.2,272,464,12,0.0
4.5,85,181,8,82,144,140,4,16.400000000000002,17.0,36.199999999999996,269,461,11,0.0
4.8,90,166,8,86,150,146,4,17.2,18.0,33.2,266,458,9,0.0
5.1,94,153,7,89,157,153,4,17.8,18.8,30.599999999999998,265,457,8,0.0
5.3999999999999995,94,145,7,91,163,159,4,18.2,18.8,28.999999999999996,264,456,8,0.0
5.699999999999999,96,131,4,97,172,168,4,19.400000000000002,19.2,26.200000000000003,264,456,7,0.0
6.0,99,123,6,96,176,171,5,19.2,19.8,24.6,263,455,7,0.0
6.3,102,114,4,100,180,175,5,20.0,20.4,22.8,263,455,7,0.0
6.6,102,108,4,102,184,179,5,20.4,20.4,21.6,261,453,7,0.0
6.9,107,95,5,103,190,185,5,20.599999999999998,21.4,19.0,261,453,7,0.0
7.2,109,89,3,106,193,188,5,21.2,21.8,17.8,259,451,7,0.0
7.5,110,77,5,107,201,196,5,21.4,22.0,15.4,259,451,7,0.0
7.800000000000001,113,71,4,108,204,199,5,21.6,22.6,14.2,256,448,6,0.0
8.1,114,66,2,111,207,202,5,22.2,22.8,13.200000000000001,256,448,6,0.0
8.4,116,57,2,112,213,208,5,22.400000000000002,23.200000000000003,11.4,254,446,6,0.0
8.7,116,51,4,113,216,211,5,22.6,23.200000000000003,10.2,254,446,6,0.0
9.0,118,43,4,114,221,216,5,22.8,23.599999999999998,8.6,251,443,6,85.91814969999541
