Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining
0.3,19,194,29,250,8,8,0,50.0,3.8,38.800000000000004,304,556,31
0.6,27,161,45,251,16,16,0,50.2,5.4,32.2,304,556,30
0.9,37,131,46,267,19,19,0,53.400000000000006,7.3999999999999995,26.200000000000003,302,554,30
1.2,42,109,39,289,21,21,0,57.8,8.4,21.8,302,554,30
1.5,46,89,36,305,24,24,0,61.0,9.2,17.8,302,554,30
1.8,53,61,33,323,30,30,0,64.60000000000001,10.6,12.2,301,553,30
2.1,57,50,24,336,33,32,1,67.2,11.4,10.0,301,553,29
2.4,59,40,19,348,34,33,1,69.6,11.799999999999999,8.0,299,551,28
2.6999999999999997,60,33,15,358,34,33,1,71.6,12.0,6.6000000000000005,299,551,28
3.0,60,29,10,367,34,33,1,73.4,12.0,5.800000000000001,299,551,28
3.3,61,25,10,369,35,33,2,73.8,12.2,5.0,299,551,28
3.6,61,20,7,376,36,34,2,75.2,12.2,4.0,299,551,28
3.9000000000000004,61,18,5,380,36,34,2,76.0,12.2,3.5999999999999996,299,551,28
4.2,61,15,5,383,36,34,2,76.6,12.2,3.0,299,551,28
4.5,61,11,4,384,40,37,3,76.8,12.2,2.1999999999999997,299,551,28
4.8,61,11,2,386,40,37,3,77.2,12.2,2.1999999999999997,299,551,28
5.1,62,10,0,388,40,37,3,77.60000000000001,12.4,2.0,299,551,28
5.3999999999999995,62,9,1,388,40,37,3,77.60000000000001,12.4,1.7999999999999998,299,551,28
5.699999999999999,64,6,1,388,41,38,3,77.60000000000001,12.8,1.2,299,551,28
6.0,65,5,0,389,41,38,3,77.8,13.0,1.0,299,551,28
6.3,65,5,0,389,41,38,3,77.8,13.0,1.0,299,551,28
6.6,65,4,1,389,41,38,3,77.8,13.0,0.8,299,551,28
6.9,65,3,0,390,42,39,3,78.0,13.0,0.6,299,551,28
7.2,65,3,0,390,42,39,3,78.0,13.0,0.6,299,551,28
7.5,65,1,1,390,43,40,3,78.0,13.0,0.2,299,551,28
7.800000000000001,65,1,1,390,43,40,3,78.0,13.0,0.2,299,551,28
8.1,65,1,0,391,43,40,3,78.2,13.0,0.2,299,551,28
8.4,65,1,0,391,43,40,3,78.2,13.0,0.2,299,551,28
8.7,65,1,0,391,43,40,3,78.2,13.0,0.2,299,551,28
9.0,65,0,1,391,43,40,3,78.2,13.0,0.0,299,551,28
