Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,33,285,23,150,9,9,0,30.0,6.6000000000000005,56.99999999999999,282,556,31,0.0
0.6,42,254,32,150,22,22,0,30.0,8.4,50.8,282,556,30,0.0
0.9,51,220,38,160,31,31,0,32.0,10.2,44.0,282,556,30,0.0
1.2,59,197,23,179,42,41,1,35.8,11.799999999999999,39.4,281,555,28,0.0
1.5,64,176,16,191,53,52,1,38.2,12.8,35.199999999999996,280,554,26,0.0
1.8,68,159,11,202,60,59,1,40.400000000000006,13.600000000000001,31.8,280,554,26,0.0
2.1,75,140,14,207,64,63,1,41.4,15.0,28.000000000000004,279,553,26,0.0
2.4,78,124,16,211,71,70,1,42.199999999999996,15.6,24.8,278,552,26,0.0
2.6999999999999997,83,103,19,218,77,75,2,43.6,16.6,20.599999999999998,277,551,26,0.0
3.0,85,89,18,227,81,79,2,45.4,17.0,17.8,277,551,25,0.0
3.3,87,75,21,233,84,82,2,46.6,17.4,15.0,277,551,25,0.0
3.6,88,62,20,242,88,86,2,48.4,17.599999999999998,12.4,277,551,24,0.0
3.9000000000000004,90,52,15,250,93,89,4,50.0,18.0,10.4,277,551,22,0.0
4.2,91,42,17,256,94,90,4,51.2,18.2,8.4,277,551,22,0.0
4.5,95,33,13,262,97,92,5,52.400000000000006,19.0,6.6000000000000005,277,551,21,0.0
4.8,97,24,10,270,99,94,5,54.0,19.400000000000002,4.8,276,550,21,0.0
5.1,98,21,6,275,100,95,5,55.00000000000001,19.6,4.2,276,550,21,0.0
5.3999999999999995,99,18,2,281,100,95,5,56.2,19.8,3.5999999999999996,275,549,21,0.0
5.699999999999999,99,15,4,282,100,95,5,56.39999999999999,19.8,3.0,275,549,21,0.0
6.0,103,9,5,283,100,95,5,56.599999999999994,20.599999999999998,1.7999999999999998,274,548,21,0.0
6.3,105,7,3,285,100,95,5,56.99999999999999,21.0,1.4000000000000001,274,548,21,0.0
6.6,106,6,2,286,100,95,5,57.199999999999996,21.2,1.2,274,548,21,0.0
6.9,106,5,1,288,100,95,5,57.599999999999994,21.2,1.0,274,548,21,0.0
7.2,107,4,1,288,100,95,5,57.599999999999994,21.4,0.8,274,548,21,0.0
7.5,107,4,1,288,100,95,5,57.599999999999994,21.4,0.8,274,548,21,0.0
7.800000000000001,107,3,1,289,100,95,5,57.8,21.4,0.6,273,547,21,0.0
8.1,107,3,1,289,100,95,5,57.8,21.4,0.6,273,547,21,0.0
8.4,107,3,1,289,100,95,5,57.8,21.4,0.6,272,546,21,0.0
8.7,107,3,0,290,100,95,5,57.99999999999999,21.4,0.6,272,546,21,0.0
9.0,107,3,0,290,100,95,5,57.99999999999999,21.4,0.6,272,546,21,91.50727000000188
