Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,28,401,6,50,15,15,0,10.0,5.6000000000000005,80.2,2936,5284,259,0.0
0.6,37,375,10,49,29,28,1,9.8,7.3999999999999995,75.0,2919,5267,229,0.0
0.9,46,351,9,54,40,39,1,10.8,9.2,70.19999999999999,2905,5253,204,0.0
1.2,55,328,9,56,52,51,1,11.200000000000001,11.0,65.60000000000001,2886,5234,182,0.0
1.5,64,312,5,62,57,56,1,12.4,12.8,62.4,2868,5216,170,0.0
1.8,68,290,6,65,71,70,1,13.0,13.600000000000001,57.99999999999999,2848,5196,164,0.0
2.1,74,270,7,65,84,81,3,13.0,14.799999999999999,54.0,2834,5182,154,0.0
2.4,77,259,7,67,90,86,4,13.4,15.4,51.800000000000004,2817,5165,152,0.0
2.6999999999999997,80,240,6,70,104,99,5,14.000000000000002,16.0,48.0,2805,5153,147,0.0
3.0,82,230,5,70,113,106,7,14.000000000000002,16.400000000000002,46.0,2791,5139,146,0.0
3.3,83,222,5,71,119,111,8,14.2,16.6,44.4,2783,5131,144,0.0
3.6,83,218,5,73,121,112,9,14.6,16.6,43.6,2764,5112,142,0.0
3.9000000000000004,84,209,5,74,128,118,10,14.799999999999999,16.8,41.8,2752,5100,140,0.0
4.2,85,202,7,73,133,121,12,14.6,17.0,40.400000000000006,2732,5080,138,0.0
4.5,85,193,9,74,139,125,14,14.799999999999999,17.0,38.6,2717,5063,136,0.0
4.8,88,181,7,77,147,133,14,15.4,17.599999999999998,36.199999999999996,2697,5043,136,0.0
5.1,88,178,4,79,151,134,17,15.8,17.599999999999998,35.6,2683,5028,136,0.0
5.3999999999999995,89,172,4,78,157,138,19,15.6,17.8,34.4,2665,5009,136,0.0
5.699999999999999,93,162,6,80,159,140,19,16.0,18.6,32.4,2651,4994,136,0.0
6.0,95,156,6,80,163,143,20,16.0,19.0,31.2,2637,4978,134,0.0
6.3,95,153,5,80,167,145,22,16.0,19.0,30.599999999999998,2625,4964,133,0.0
6.6,97,146,1,83,173,150,23,16.6,19.400000000000002,29.2,2606,4943,133,0.0
6.9,98,140,1,82,179,155,24,16.400000000000002,19.6,28.000000000000004,2597,4933,133,0.0
7.2,99,133,2,82,184,160,24,16.400000000000002,19.8,26.6,2577,4906,131,0.0
7.5,99,131,2,83,185,161,24,16.6,19.8,26.200000000000003,2570,4897,130,0.0
7.800000000000001,99,128,2,81,190,164,26,16.2,19.8,25.6,2551,4869,129,0.0
8.1,101,119,1,83,196,170,26,16.6,20.200000000000003,23.799999999999997,2544,4859,128,0.0
8.4,101,115,2,83,199,173,26,16.6,20.200000000000003,23.0,2531,4837,128,0.0
8.7,101,110,2,84,203,177,26,16.8,20.200000000000003,22.0,2521,4823,128,0.0
9.0,101,106,3,84,206,180,26,16.8,20.200000000000003,21.2,2507,4801,128,81.67642530001467
