Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,22,290,24,151,13,13,0,30.2,4.3999999999999995,57.99999999999999,288,511,27,0.0
0.6,29,256,38,151,26,26,0,30.2,5.800000000000001,51.2,285,508,21,0.0
0.9,39,230,22,170,39,38,1,34.0,7.8,46.0,283,506,19,0.0
1.2,49,210,13,185,43,42,1,37.0,9.8,42.0,283,506,18,0.0
1.5,61,192,10,191,46,45,1,38.2,12.2,38.4,283,506,17,0.0
1.8,67,170,16,196,51,50,1,39.2,13.4,34.0,283,506,17,0.0
2.1,72,145,25,202,56,55,1,40.400000000000006,14.399999999999999,28.999999999999996,283,506,16,0.0
2.4,73,121,29,210,67,66,1,42.0,14.6,24.2,283,506,16,0.0
2.6999999999999997,74,102,24,224,76,74,2,44.800000000000004,14.799999999999999,20.4,283,506,16,0.0
3.0,77,76,26,235,86,84,2,47.0,15.4,15.2,283,506,16,0.0
3.3,77,65,18,250,90,88,2,50.0,15.4,13.0,283,506,16,0.0
3.6,77,54,19,258,92,89,3,51.6,15.4,10.8,283,506,16,0.0
3.9000000000000004,79,39,25,262,95,91,4,52.400000000000006,15.8,7.8,283,506,16,0.0
4.2,79,33,19,272,97,92,5,54.400000000000006,15.8,6.6000000000000005,283,506,16,0.0
4.5,80,29,12,280,99,93,6,56.00000000000001,16.0,5.800000000000001,283,506,16,0.0
4.8,80,23,8,289,100,94,6,57.8,16.0,4.6,283,506,16,0.0
5.1,80,21,8,291,100,94,6,58.199999999999996,16.0,4.2,283,506,16,0.0
5.3999999999999995,80,18,3,297,102,96,6,59.4,16.0,3.5999999999999996,283,506,16,0.0
5.699999999999999,80,12,6,298,104,98,6,59.599999999999994,16.0,2.4,283,506,16,0.0
6.0,80,10,5,300,105,99,6,60.0,16.0,2.0,283,506,16,0.0
6.3,80,8,4,303,105,99,6,60.6,16.0,1.6,283,506,16,0.0
6.6,80,5,3,304,108,102,6,60.8,16.0,1.0,283,506,16,0.0
6.9,80,4,0,307,109,103,6,61.4,16.0,0.8,283,506,16,0.0
7.2,80,4,0,307,109,103,6,61.4,16.0,0.8,283,506,16,0.0
7.5,80,4,0,307,109,103,6,61.4,16.0,0.8,283,506,16,0.0
7.800000000000001,80,3,1,307,109,103,6,61.4,16.0,0.6,283,506,16,0.0
8.1,80,3,1,307,109,103,6,61.4,16.0,0.6,283,506,16,0.0
8.4,80,3,0,308,109,103,6,61.6,16.0,0.6,283,506,16,0.0
8.7,80,3,0,308,109,103,6,61.6,16.0,0.6,283,506,16,0.0
9.0,80,3,0,308,109,103,6,61.6,16.0,0.6,283,506,16,62.92863789999683
