Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,12,476,0,0,12,12,0,0.0,2.4,95.19999999999999,2803,5383,252,0.0
0.6,17,458,0,0,25,25,0,0.0,3.4000000000000004,91.60000000000001,2764,5344,195,0.0
0.9,19,438,0,0,43,43,0,0.0,3.8,87.6,2727,5307,150,0.0
1.2,20,433,0,0,47,47,0,0.0,4.0,86.6,2685,5265,125,0.0
1.5,25,415,0,0,60,60,0,0.0,5.0,83.0,2642,5222,115,0.0
1.8,26,402,0,0,72,72,0,0.0,5.2,80.4,2590,5170,105,0.0
2.1,27,392,0,0,81,81,0,0.0,5.4,78.4,2540,5120,97,0.0
2.4,29,381,0,0,90,90,0,0.0,5.800000000000001,76.2,2487,5067,94,0.0
2.6999999999999997,29,373,0,0,98,98,0,0.0,5.800000000000001,74.6,2436,5015,92,0.0
3.0,30,367,0,0,103,103,0,0.0,6.0,73.4,2375,4953,92,0.0
3.3,30,361,0,0,109,109,0,0.0,6.0,72.2,2327,4905,92,0.0
3.6,30,346,0,0,124,124,0,0.0,6.0,69.19999999999999,2276,4854,92,0.0
3.9000000000000004,30,335,0,0,135,135,0,0.0,6.0,67.0,2226,4802,92,0.0
4.2,30,331,0,0,139,139,0,0.0,6.0,66.2,2180,4752,92,0.0
4.5,30,322,0,0,148,148,0,0.0,6.0,64.4,2132,4701,92,0.0
4.8,30,314,0,0,156,156,0,0.0,6.0,62.8,2084,4649,92,0.0
5.1,31,307,0,0,162,162,0,0.0,6.2,61.4,2033,4593,91,0.0
5.3999999999999995,31,301,0,0,168,168,0,0.0,6.2,60.199999999999996,1988,4538,91,0.0
5.699999999999999,31,291,0,0,178,178,0,0.0,6.2,58.199999999999996,1933,4477,91,0.0
6.0,32,282,0,0,186,186,0,0.0,6.4,56.39999999999999,1899,4424,90,0.0
6.3,32,279,0,0,189,189,0,0.0,6.4,55.800000000000004,1854,4365,90,0.0
6.6,32,274,0,0,194,194,0,0.0,6.4,54.800000000000004,1817,4308,90,0.0
6.9,32,268,0,0,200,200,0,0.0,6.4,53.6,1777,4252,90,0.0
7.2,32,264,0,0,204,204,0,0.0,6.4,52.800000000000004,1743,4199,89,0.0
7.5,32,263,0,0,205,205,0,0.0,6.4,52.6,1713,4154,88,0.0
7.800000000000001,32,259,0,0,209,209,0,0.0,6.4,51.800000000000004,1684,4100,88,0.0
8.1,32,256,0,0,212,212,0,0.0,6.4,51.2,1652,4052,88,0.0
8.4,32,246,0,0,222,222,0,0.0,6.4,49.2,1631,4002,88,0.0
8.7,32,242,0,0,226,226,0,0.0,6.4,48.4,1601,3952,88,0.0
9.0,32,236,0,0,232,232,0,0.0,6.4,47.199999999999996,1575,3897,87,117.15775330000906
