Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,29,290,20,151,10,10,0,30.2,5.800000000000001,57.99999999999999,298,451,25,0.0
0.6,43,248,37,152,20,20,0,30.4,8.6,49.6,298,451,25,0.0
0.9,46,230,30,165,29,28,1,33.0,9.2,46.0,298,451,24,0.0
1.2,57,205,15,185,38,37,1,37.0,11.4,41.0,298,451,24,0.0
1.5,62,186,14,194,44,43,1,38.800000000000004,12.4,37.2,297,450,20,0.0
1.8,67,159,23,198,53,51,2,39.6,13.4,31.8,297,450,20,0.0
2.1,73,133,30,203,61,59,2,40.6,14.6,26.6,295,448,19,0.0
2.4,80,107,29,215,69,66,3,43.0,16.0,21.4,294,447,18,0.0
2.6999999999999997,86,86,35,222,71,67,4,44.4,17.2,17.2,292,445,18,0.0
3.0,91,68,22,242,77,73,4,48.4,18.2,13.600000000000001,292,445,18,0.0
3.3,95,58,14,254,79,75,4,50.8,19.0,11.600000000000001,292,445,18,0.0
3.6,96,50,8,262,84,79,5,52.400000000000006,19.2,10.0,292,445,18,0.0
3.9000000000000004,97,44,5,268,86,81,5,53.6,19.400000000000002,8.799999999999999,292,445,18,0.0
4.2,99,37,7,269,88,83,5,53.800000000000004,19.8,7.3999999999999995,291,444,18,0.0
4.5,100,33,4,273,90,85,5,54.6,20.0,6.6000000000000005,291,444,18,0.0
4.8,101,26,7,274,92,87,5,54.800000000000004,20.200000000000003,5.2,291,444,18,0.0
5.1,102,17,9,276,96,91,5,55.2,20.4,3.4000000000000004,291,444,18,0.0
5.3999999999999995,103,13,6,279,99,93,6,55.800000000000004,20.599999999999998,2.6,291,444,18,0.0
5.699999999999999,103,11,3,284,99,93,6,56.8,20.599999999999998,2.1999999999999997,291,444,18,0.0
6.0,104,9,3,284,100,94,6,56.8,20.8,1.7999999999999998,291,444,18,0.0
6.3,105,8,0,287,100,94,6,57.4,21.0,1.6,291,444,18,0.0
6.6,106,7,0,287,100,94,6,57.4,21.2,1.4000000000000001,291,444,18,0.0
6.9,106,6,1,287,100,94,6,57.4,21.2,1.2,291,444,18,0.0
7.2,106,6,1,287,100,94,6,57.4,21.2,1.2,291,444,18,0.0
7.5,106,4,0,288,102,96,6,57.599999999999994,21.2,0.8,291,444,18,0.0
7.800000000000001,107,3,0,288,102,96,6,57.599999999999994,21.4,0.6,291,444,18,0.0
8.1,107,1,1,288,103,97,6,57.599999999999994,21.4,0.2,291,444,18,0.0
8.4,107,0,2,288,103,97,6,57.599999999999994,21.4,0.0,291,444,18,0.0
8.7,107,0,1,289,103,97,6,57.8,21.4,0.0,291,444,18,0.0
9.0,107,0,0,290,103,97,6,57.99999999999999,21.4,0.0,291,444,18,84.39700820000144
