Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,23,194,24,250,9,9,0,50.0,4.6,38.800000000000004,262,555,23,0.0
0.6,30,163,41,251,15,14,1,50.2,6.0,32.6,262,555,23,0.0
0.9,32,144,38,267,19,18,1,53.400000000000006,6.4,28.799999999999997,262,555,23,0.0
1.2,37,122,25,289,27,26,1,57.8,7.3999999999999995,24.4,262,555,20,0.0
1.5,42,97,27,301,33,32,1,60.199999999999996,8.4,19.400000000000002,260,553,18,0.0
1.8,42,85,27,310,36,35,1,62.0,8.4,17.0,259,552,18,0.0
2.1,44,76,20,323,37,36,1,64.60000000000001,8.799999999999999,15.2,258,551,17,0.0
2.4,44,59,21,334,42,41,1,66.8,8.799999999999999,11.799999999999999,256,549,17,0.0
2.6999999999999997,46,43,27,339,45,44,1,67.80000000000001,9.2,8.6,256,549,17,0.0
3.0,47,37,20,349,47,45,2,69.8,9.4,7.3999999999999995,256,549,17,0.0
3.3,50,29,12,361,48,46,2,72.2,10.0,5.800000000000001,255,548,17,0.0
3.6,51,22,10,368,49,47,2,73.6,10.2,4.3999999999999995,255,548,17,0.0
3.9000000000000004,52,19,8,372,49,47,2,74.4,10.4,3.8,255,548,17,0.0
4.2,55,8,10,376,51,48,3,75.2,11.0,1.6,255,548,17,0.0
4.5,56,5,9,379,51,48,3,75.8,11.200000000000001,1.0,255,548,17,0.0
4.8,56,5,6,382,51,48,3,76.4,11.200000000000001,1.0,255,548,17,0.0
5.1,56,4,1,388,51,48,3,77.60000000000001,11.200000000000001,0.8,255,548,17,0.0
5.3999999999999995,56,3,1,388,52,49,3,77.60000000000001,11.200000000000001,0.6,255,548,17,0.0
5.699999999999999,56,3,1,388,52,49,3,77.60000000000001,11.200000000000001,0.6,255,548,17,0.0
6.0,56,2,1,389,52,49,3,77.8,11.200000000000001,0.4,255,548,17,0.0
6.3,56,2,1,389,52,49,3,77.8,11.200000000000001,0.4,255,548,17,0.0
6.6,56,2,0,390,52,49,3,78.0,11.200000000000001,0.4,255,548,17,0.0
6.9,56,2,0,390,52,49,3,78.0,11.200000000000001,0.4,255,548,17,0.0
7.2,56,2,0,390,52,49,3,78.0,11.200000000000001,0.4,255,548,17,0.0
7.5,57,1,0,390,52,49,3,78.0,11.4,0.2,255,548,17,0.0
7.800000000000001,57,1,0,390,52,49,3,78.0,11.4,0.2,255,548,17,0.0
8.1,57,1,0,390,52,49,3,78.0,11.4,0.2,255,548,17,0.0
8.4,57,1,0,390,52,49,3,78.0,11.4,0.2,255,548,17,0.0
8.7,57,1,0,390,52,49,3,78.0,11.4,0.2,255,548,17,0.0
9.0,57,1,0,390,52,49,3,78.0,11.4,0.2,255,548,17,85.93972490000306
