Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,30,331,30,175,14,14,0,30.17241379310345,5.172413793103448,57.068965517241374,312,526,30,0.0
0.6,51,281,41,175,32,32,0,30.17241379310345,8.793103448275861,48.44827586206897,311,525,29,0.0
0.9,67,239,33,199,42,42,0,34.310344827586206,11.551724137931034,41.206896551724135,310,524,26,0.0
1.2,75,204,36,211,54,53,1,36.37931034482759,12.931034482758621,35.172413793103445,308,522,23,0.0
1.5,87,174,30,228,61,59,2,39.310344827586206,15.0,30.0,308,522,22,0.0
1.8,92,153,30,240,65,63,2,41.37931034482759,15.862068965517242,26.379310344827587,308,522,21,0.0
2.1,98,124,30,255,73,70,3,43.96551724137931,16.896551724137932,21.379310344827587,307,521,20,0.0
2.4,106,93,39,264,78,75,3,45.51724137931035,18.275862068965516,16.034482758620687,307,521,19,0.0
2.6999999999999997,108,74,39,274,85,81,4,47.241379310344826,18.620689655172416,12.758620689655173,307,521,19,0.0
3.0,109,58,31,291,91,85,6,50.172413793103445,18.79310344827586,10.0,306,520,19,0.0
3.3,110,44,24,309,93,87,6,53.275862068965516,18.96551724137931,7.586206896551724,306,520,19,0.0
3.6,110,37,17,318,98,91,7,54.82758620689655,18.96551724137931,6.379310344827586,306,520,19,0.0
3.9000000000000004,111,29,12,328,100,93,7,56.55172413793104,19.137931034482758,5.0,306,520,18,0.0
4.2,111,26,10,333,100,93,7,57.41379310344827,19.137931034482758,4.482758620689655,306,520,18,0.0
4.5,111,23,7,339,100,93,7,58.44827586206897,19.137931034482758,3.9655172413793105,306,520,18,0.0
4.8,113,20,5,341,101,93,8,58.793103448275865,19.482758620689655,3.4482758620689653,306,520,18,0.0
5.1,113,18,4,344,101,93,8,59.310344827586206,19.482758620689655,3.103448275862069,306,520,18,0.0
5.3999999999999995,115,15,3,346,101,93,8,59.6551724137931,19.82758620689655,2.586206896551724,306,520,18,0.0
5.699999999999999,116,11,3,348,102,94,8,60.0,20.0,1.896551724137931,306,520,18,0.0
6.0,116,8,5,348,103,95,8,60.0,20.0,1.3793103448275863,306,520,18,0.0
6.3,117,7,2,351,103,95,8,60.51724137931035,20.17241379310345,1.206896551724138,306,520,18,0.0
6.6,117,5,0,353,105,97,8,60.862068965517246,20.17241379310345,0.8620689655172413,306,520,18,0.0
6.9,119,2,0,353,106,98,8,60.862068965517246,20.517241379310345,0.3448275862068966,306,520,18,0.0
7.2,119,2,0,353,106,98,8,60.862068965517246,20.517241379310345,0.3448275862068966,306,520,18,0.0
7.5,119,2,0,353,106,98,8,60.862068965517246,20.517241379310345,0.3448275862068966,306,520,18,0.0
7.800000000000001,119,2,0,353,106,98,8,60.862068965517246,20.517241379310345,0.3448275862068966,306,520,18,0.0
8.1,119,2,0,353,106,98,8,60.862068965517246,20.517241379310345,0.3448275862068966,306,520,18,0.0
8.4,119,1,0,353,107,99,8,60.862068965517246,20.517241379310345,0.1724137931034483,306,520,18,0.0
8.7,119,0,1,353,107,99,8,60.862068965517246,20.517241379310345,0.0,306,520,18,0.0
9.0,119,0,1,353,107,99,8,60.862068965517246,20.517241379310345,0.0,306,520,18,92.22299850001582
