Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,41,438,32,226,13,13,0,30.133333333333333,5.466666666666667,58.4,331,510,23,0.0
0.6,60,379,61,226,24,24,0,30.133333333333333,8.0,50.53333333333333,330,509,20,0.0
0.9,80,328,56,250,36,36,0,33.33333333333333,10.666666666666668,43.733333333333334,326,505,16,0.0
1.2,90,289,40,282,49,49,0,37.6,12.0,38.53333333333334,324,503,16,0.0
1.5,97,246,43,300,64,64,0,40.0,12.933333333333334,32.800000000000004,322,501,13,0.0
1.8,107,201,54,317,71,71,0,42.266666666666666,14.266666666666666,26.8,322,501,13,0.0
2.1,110,170,57,337,76,76,0,44.93333333333333,14.666666666666666,22.666666666666664,321,500,13,0.0
2.4,115,138,48,364,85,85,0,48.53333333333333,15.333333333333332,18.4,320,499,13,0.0
2.6999999999999997,118,112,43,389,88,88,0,51.866666666666674,15.733333333333333,14.933333333333335,319,498,12,0.0
3.0,121,93,35,408,93,92,1,54.400000000000006,16.133333333333333,12.4,319,498,12,0.0
3.3,122,81,24,426,97,96,1,56.8,16.266666666666666,10.8,318,497,12,0.0
3.6,123,65,24,438,100,99,1,58.4,16.400000000000002,8.666666666666668,318,497,12,0.0
3.9000000000000004,123,56,20,450,101,100,1,60.0,16.400000000000002,7.466666666666668,317,496,12,0.0
4.2,126,38,23,456,107,105,2,60.8,16.8,5.066666666666666,317,496,12,0.0
4.5,127,25,22,468,108,106,2,62.4,16.933333333333334,3.3333333333333335,317,496,12,0.0
4.8,128,14,20,477,111,109,2,63.6,17.066666666666666,1.866666666666667,317,496,12,0.0
5.1,130,8,12,488,112,110,2,65.06666666666666,17.333333333333336,1.0666666666666667,317,496,12,0.0
5.3999999999999995,130,6,6,495,113,111,2,66.0,17.333333333333336,0.8,317,496,12,0.0
5.699999999999999,130,2,5,500,113,111,2,66.66666666666666,17.333333333333336,0.26666666666666666,317,496,12,0.0
6.0,131,1,4,501,113,111,2,66.8,17.466666666666665,0.13333333333333333,317,496,12,0.0
6.3,131,0,1,505,113,111,2,67.33333333333333,17.466666666666665,0.0,317,496,12,0.0
6.6,131,0,1,505,113,111,2,67.33333333333333,17.466666666666665,0.0,317,496,12,0.0
6.9,131,0,1,505,113,111,2,67.33333333333333,17.466666666666665,0.0,317,496,12,0.0
7.2,131,0,0,506,113,111,2,67.46666666666667,17.466666666666665,0.0,317,496,12,0.0
7.5,131,0,0,506,113,111,2,67.46666666666667,17.466666666666665,0.0,317,496,12,0.0
7.800000000000001,131,0,0,506,113,111,2,67.46666666666667,17.466666666666665,0.0,317,496,12,0.0
8.1,131,0,0,506,113,111,2,67.46666666666667,17.466666666666665,0.0,317,496,12,0.0
8.4,131,0,0,506,113,111,2,67.46666666666667,17.466666666666665,0.0,317,496,12,0.0
8.7,131,0,0,506,113,111,2,67.46666666666667,17.466666666666665,0.0,317,496,12,0.0
9.0,131,0,0,506,113,111,2,67.46666666666667,17.466666666666665,0.0,317,496,12,104.69564059999539
