Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,11,104,30,349,6,5,1,69.8,2.1999999999999997,20.8,927,1646,82,0.0
0.6,17,77,46,349,11,10,1,69.8,3.4000000000000004,15.4,927,1646,82,0.0
0.9,21,52,39,372,16,14,2,74.4,4.2,10.4,925,1644,81,0.0
1.2,24,42,28,388,18,16,2,77.60000000000001,4.8,8.4,925,1644,80,0.0
1.5,24,30,21,405,20,17,3,81.0,4.8,6.0,924,1643,80,0.0
1.8,26,21,17,414,22,19,3,82.8,5.2,4.2,924,1643,80,0.0
2.1,26,17,11,424,22,19,3,84.8,5.2,3.4000000000000004,924,1643,80,0.0
2.4,27,13,7,430,23,19,4,86.0,5.4,2.6,923,1642,80,0.0
2.6999999999999997,27,11,6,433,23,19,4,86.6,5.4,2.1999999999999997,923,1642,80,0.0
3.0,27,9,6,435,23,19,4,87.0,5.4,1.7999999999999998,923,1642,80,0.0
3.3,27,6,6,438,23,19,4,87.6,5.4,1.2,923,1642,80,0.0
3.6,28,4,4,440,24,20,4,88.0,5.6000000000000005,0.8,923,1642,80,0.0
3.9000000000000004,28,2,5,441,24,20,4,88.2,5.6000000000000005,0.4,923,1642,80,0.0
4.2,29,1,2,444,24,20,4,88.8,5.800000000000001,0.2,923,1642,80,0.0
4.5,29,1,1,445,24,20,4,89.0,5.800000000000001,0.2,923,1642,80,0.0
4.8,29,1,0,446,24,20,4,89.2,5.800000000000001,0.2,923,1642,80,0.0
5.1,29,1,0,446,24,20,4,89.2,5.800000000000001,0.2,923,1642,80,0.0
5.3999999999999995,29,0,1,446,24,20,4,89.2,5.800000000000001,0.0,923,1642,80,0.0
5.699999999999999,29,0,1,446,24,20,4,89.2,5.800000000000001,0.0,923,1642,80,0.0
6.0,29,0,0,447,24,20,4,89.4,5.800000000000001,0.0,923,1642,80,0.0
6.3,29,0,0,447,24,20,4,89.4,5.800000000000001,0.0,923,1642,80,0.0
6.6,29,0,0,447,24,20,4,89.4,5.800000000000001,0.0,923,1642,80,0.0
6.9,29,0,0,447,24,20,4,89.4,5.800000000000001,0.0,923,1642,80,0.0
7.2,29,0,0,447,24,20,4,89.4,5.800000000000001,0.0,923,1642,80,0.0
7.5,29,0,0,447,24,20,4,89.4,5.800000000000001,0.0,923,1642,80,0.0
7.800000000000001,29,0,0,447,24,20,4,89.4,5.800000000000001,0.0,923,1642,80,0.0
8.1,29,0,0,447,24,20,4,89.4,5.800000000000001,0.0,923,1642,80,0.0
8.4,29,0,0,447,24,20,4,89.4,5.800000000000001,0.0,923,1642,80,0.0
8.7,29,0,0,447,24,20,4,89.4,5.800000000000001,0.0,923,1642,80,0.0
9.0,29,0,0,447,24,20,4,89.4,5.800000000000001,0.0,923,1642,80,53.27966799997375
