Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,21,296,21,150,12,12,0,30.0,4.2,59.199999999999996,768,1256,62,0.0
0.6,36,262,30,151,21,21,0,30.2,7.199999999999999,52.400000000000006,764,1252,57,0.0
0.9,46,230,30,164,30,29,1,32.800000000000004,9.2,46.0,760,1248,50,0.0
1.2,57,205,24,178,36,35,1,35.6,11.4,41.0,759,1247,50,0.0
1.5,64,186,18,192,40,39,1,38.4,12.8,37.2,754,1242,46,0.0
1.8,68,159,27,202,44,42,2,40.400000000000006,13.600000000000001,31.8,754,1242,43,0.0
2.1,71,141,31,208,49,45,4,41.6,14.2,28.199999999999996,752,1240,43,0.0
2.4,75,123,24,221,57,52,5,44.2,15.0,24.6,751,1239,41,0.0
2.6999999999999997,78,110,16,234,62,57,5,46.800000000000004,15.6,22.0,750,1238,41,0.0
3.0,79,96,17,238,70,63,7,47.599999999999994,15.8,19.2,748,1236,41,0.0
3.3,79,82,20,246,73,66,7,49.2,15.8,16.400000000000002,748,1236,40,0.0
3.6,84,59,28,253,76,69,7,50.6,16.8,11.799999999999999,746,1234,38,0.0
3.9000000000000004,87,48,28,259,78,70,8,51.800000000000004,17.4,9.6,745,1233,38,0.0
4.2,87,43,16,274,80,71,9,54.800000000000004,17.4,8.6,744,1232,38,0.0
4.5,91,37,7,285,80,71,9,56.99999999999999,18.2,7.3999999999999995,743,1231,37,0.0
4.8,93,27,8,289,83,74,9,57.8,18.6,5.4,743,1231,37,0.0
5.1,94,23,7,293,83,74,9,58.599999999999994,18.8,4.6,743,1231,37,0.0
5.3999999999999995,98,18,3,297,84,75,9,59.4,19.6,3.5999999999999996,743,1231,37,0.0
5.699999999999999,99,14,4,298,85,76,9,59.599999999999994,19.8,2.8000000000000003,743,1231,37,0.0
6.0,100,11,4,300,85,76,9,60.0,20.0,2.1999999999999997,743,1231,37,0.0
6.3,103,7,5,300,85,76,9,60.0,20.599999999999998,1.4000000000000001,743,1231,37,0.0
6.6,103,7,2,303,85,76,9,60.6,20.599999999999998,1.4000000000000001,743,1231,37,0.0
6.9,104,5,1,305,85,76,9,61.0,20.8,1.0,742,1230,37,0.0
7.2,104,5,1,305,85,76,9,61.0,20.8,1.0,741,1229,37,0.0
7.5,104,4,2,305,85,76,9,61.0,20.8,0.8,740,1228,37,0.0
7.800000000000001,104,4,0,307,85,76,9,61.4,20.8,0.8,739,1227,37,0.0
8.1,104,4,0,307,85,76,9,61.4,20.8,0.8,738,1226,37,0.0
8.4,104,4,0,307,85,76,9,61.4,20.8,0.8,737,1225,37,0.0
8.7,105,2,1,307,85,76,9,61.4,21.0,0.4,737,1225,37,0.0
9.0,105,2,1,307,85,76,9,61.4,21.0,0.4,736,1224,37,72.1261300999904
