Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,28,291,18,150,13,13,0,30.0,5.6000000000000005,58.199999999999996,289,550,27,0.0
0.6,41,263,26,152,18,18,0,30.4,8.200000000000001,52.6,288,549,24,0.0
0.9,49,231,26,164,30,30,0,32.800000000000004,9.8,46.2,286,547,24,0.0
1.2,59,202,28,174,37,37,0,34.8,11.799999999999999,40.400000000000006,286,547,24,0.0
1.5,64,184,26,187,39,39,0,37.4,12.8,36.8,285,546,23,0.0
1.8,70,161,23,197,49,48,1,39.4,14.000000000000002,32.2,285,546,23,0.0
2.1,74,143,20,208,55,54,1,41.6,14.799999999999999,28.599999999999998,284,545,21,0.0
2.4,78,116,18,217,71,68,3,43.4,15.6,23.200000000000003,284,545,21,0.0
2.6999999999999997,80,100,14,227,79,76,3,45.4,16.0,20.0,284,545,21,0.0
3.0,81,91,17,231,80,77,3,46.2,16.2,18.2,284,545,21,0.0
3.3,86,80,11,240,83,80,3,48.0,17.2,16.0,283,544,19,0.0
3.6,87,68,13,246,86,83,3,49.2,17.4,13.600000000000001,282,543,18,0.0
3.9000000000000004,90,52,20,249,89,86,3,49.8,18.0,10.4,279,540,18,0.0
4.2,90,45,18,257,90,87,3,51.4,18.0,9.0,279,540,18,0.0
4.5,92,35,16,265,92,88,4,53.0,18.4,7.000000000000001,278,539,18,0.0
4.8,94,30,9,274,93,89,4,54.800000000000004,18.8,6.0,278,539,18,0.0
5.1,95,27,5,278,95,91,4,55.60000000000001,19.0,5.4,278,539,18,0.0
5.3999999999999995,95,24,0,283,98,94,4,56.599999999999994,19.0,4.8,278,539,18,0.0
5.699999999999999,96,19,4,283,98,94,4,56.599999999999994,19.2,3.8,278,539,18,0.0
6.0,96,14,7,283,100,96,4,56.599999999999994,19.2,2.8000000000000003,278,539,18,0.0
6.3,96,12,5,287,100,96,4,57.4,19.2,2.4,278,539,18,0.0
6.6,98,8,3,290,101,97,4,57.99999999999999,19.6,1.6,278,539,18,0.0
6.9,99,6,1,293,101,97,4,58.599999999999994,19.8,1.2,278,539,18,0.0
7.2,100,5,0,294,101,97,4,58.8,20.0,1.0,278,539,18,0.0
7.5,100,5,0,294,101,97,4,58.8,20.0,1.0,277,538,18,0.0
7.800000000000001,100,5,0,294,101,97,4,58.8,20.0,1.0,277,538,18,0.0
8.1,100,5,0,294,101,97,4,58.8,20.0,1.0,275,536,18,0.0
8.4,101,4,0,294,101,97,4,58.8,20.200000000000003,0.8,275,536,18,0.0
8.7,101,4,0,294,101,97,4,58.8,20.200000000000003,0.8,274,535,18,0.0
9.0,101,4,0,294,101,97,4,58.8,20.200000000000003,0.8,274,535,18,64.35582029999932
