Day,Escaped,Survivors,Exposed,Infected,Dead,Dead_PreInfection,Dead_Infected,Percent_Infected,Percent_Escaped,Percent_Alive_In_City,Food_Remaining,Water_Remaining,Weapons_Remaining,Execution_Time_Seconds
0.3,31,291,16,150,12,11,1,30.0,6.2,58.199999999999996,304,562,18,0.0
0.6,43,260,25,152,20,19,1,30.4,8.6,52.0,303,561,15,0.0
0.9,52,230,29,162,27,26,1,32.4,10.4,46.0,302,560,13,0.0
1.2,59,199,27,173,42,40,2,34.599999999999994,11.799999999999999,39.800000000000004,301,559,10,0.0
1.5,62,179,23,187,49,46,3,37.4,12.4,35.8,300,558,7,0.0
1.8,67,158,25,194,56,52,4,38.800000000000004,13.4,31.6,299,557,7,0.0
2.1,73,134,26,207,60,56,4,41.4,14.6,26.8,297,555,7,0.0
2.4,75,112,33,216,64,59,5,43.2,15.0,22.400000000000002,297,555,7,0.0
2.6999999999999997,78,98,27,228,69,64,5,45.6,15.6,19.6,296,554,7,0.0
3.0,79,84,22,242,73,67,6,48.4,15.8,16.8,296,554,7,0.0
3.3,83,70,20,251,76,69,7,50.2,16.6,14.000000000000002,296,554,7,0.0
3.6,85,63,15,259,78,70,8,51.800000000000004,17.0,12.6,295,553,7,0.0
3.9000000000000004,85,51,15,268,81,73,8,53.6,17.0,10.2,294,552,6,0.0
4.2,89,36,19,272,84,75,9,54.400000000000006,17.8,7.199999999999999,294,552,6,0.0
4.5,89,31,13,282,85,76,9,56.39999999999999,17.8,6.2,294,552,6,0.0
4.8,90,24,8,290,88,79,9,57.99999999999999,18.0,4.8,294,552,6,0.0
5.1,91,16,9,293,91,82,9,58.599999999999994,18.2,3.2,294,552,6,0.0
5.3999999999999995,91,12,8,296,93,84,9,59.199999999999996,18.2,2.4,294,552,6,0.0
5.699999999999999,91,10,3,301,95,85,10,60.199999999999996,18.2,2.0,294,552,6,0.0
6.0,91,9,0,304,96,86,10,60.8,18.2,1.7999999999999998,294,552,6,0.0
6.3,91,9,0,304,96,86,10,60.8,18.2,1.7999999999999998,294,552,6,0.0
6.6,91,7,1,304,97,87,10,60.8,18.2,1.4000000000000001,293,551,6,0.0
6.9,92,5,2,304,97,87,10,60.8,18.4,1.0,293,551,6,0.0
7.2,92,4,2,305,97,87,10,61.0,18.4,0.8,292,550,6,0.0
7.5,92,3,2,306,97,87,10,61.199999999999996,18.4,0.6,292,550,6,0.0
7.800000000000001,92,3,1,307,97,87,10,61.4,18.4,0.6,292,550,6,0.0
8.1,92,3,0,308,97,87,10,61.6,18.4,0.6,292,550,6,0.0
8.4,92,3,0,308,97,87,10,61.6,18.4,0.6,292,550,6,0.0
8.7,92,3,0,308,97,87,10,61.6,18.4,0.6,292,550,6,0.0
9.0,92,3,0,308,97,87,10,61.6,18.4,0.6,292,550,6,66.15551649998815
